iter	Passed	Remaining
413	3264	4621
414	3268	4607
415	3273	4595
416	3276	4581
417	3278	4564
418	3283	4553
419	3285	4536
420	3292	4527
421	3294	4512
422	3301	4503
423	3321	4511
424	3351	4534
425	3363	4532
426	3367	4519
427	3376	4512
428	3393	4516
429	3395	4501
430	3398	4486
431	3400	4470
432	3404	4457
433	3406	4442
434	3407	4426
435	3409	4410
436	3410	4394
437	3412	4378
438	3414	4363
439	3421	4354
440	3423	4339
441	3425	4324
442	3427	4309
443	3431	4296
444	3438	4288
445	3442	4275
446	3445	4262
447	3447	4248
448	3453	4237
449	3456	4224
450	3461	4214
451	3467	4203
452	3470	4191
453	3473	4177
454	3476	4163
455	3484	4157
456	3488	4145
457	3500	4142
458	3504	4130
459	3509	4119
460	3513	4108
461	3518	4096
462	3520	4082
463	3523	4069
464	3525	4056
465	3533	4049
466	3538	4038
467	3540	4024
468	3541	4010
469	3547	3999
470	3548	3985
471	3550	3971
472	3552	3957
473	3553	3943
474	3555	3929
475	3556	3915
476	3562	3906
477	3564	3892
478	3565	3878
479	3567	3864
480	3568	3850
481	3570	3837
482	3575	3827
483	3577	3813
484	3579	3800
485	3580	3787
486	3582	3773
487	3583	3759
488	3585	3746
489	3586	3733
490	3593	3725
491	3594	3711
492	3596	3698
493	3597	3685
494	3599	3671
495	3600	3658
496	3601	3645
497	3608	3637
498	3609	3624
499	3610	3610
500	3612	3597
501	3613	3584
502	3614	3571
503	3616	3558
504	3619	3547
505	3622	3536
506	3629	3529
507	3639	3524
508	3640	3511
509	3642	3499
510	3644	3487
511	3646	3475
512	3648	3463
513	3652	3453
514	3653	3440
515	3655	3428
516	3656	3416
517	3658	3404
518	3660	3392
519	3662	3380
520	3664	3369
521	3666	3357
522	3668	3346
523	3671	3334
524	3679	3329
525	3685	3321
526	3700	3321
527	3718	3324
528	3734	3324
529	3737	3314
530	3740	3303
531	3744	3293
532	3749	3285
533	3755	3276
534	3767	3274
535	3771	3264
536	3775	3255
537	3783	3248
538	3787	3239
539	3795	3232
540	3798	3222
541	3800	3211
542	3811	3207
543	3817	3200
544	3821	3190
545	3831	3185
546	3835	3176
547	3841	3168
548	3847	3160
549	3850	3150
550	3857	3143
551	3859	3131
552	3861	3121
553	3864	3111
554	3866	3100
555	3873	3092
556	3875	3082
557	3877	3071
558	3879	3060
559	3882	3050
560	3888	3042
561	3891	3033
562	3894	3022
563	3896	3012
564	3903	3005
565	3905	2994
566	3919	2993
567	3923	2984
568	3926	2973
569	3929	2964
570	3934	2956
571	3937	2946
572	3939	2935
573	3942	2925
574	3944	2915
575	3950	2907
576	3952	2897
577	3955	2888
578	3958	2878
579	3960	2868
580	3965	2860
581	3967	2849
582	3969	2839
583	3986	2839
584	3994	2833
585	4000	2826
586	4008	2820
587	4012	2811
588	4013	2800
589	4015	2790
590	4017	2780
591	4018	2769
592	4022	2760
593	4023	2750
594	4025	2739
595	4026	2729
596	4028	2719
597	4029	2708
598	4030	2698
599	4032	2688
600	4033	2677
601	4037	2669
602	4038	2658
603	4039	2648
604	4041	2638
605	4043	2628
606	4045	2619
607	4046	2608
608	4047	2598
609	4050	2589
610	4051	2579
611	4053	2569
612	4054	2559
613	4056	2550
614	4057	2540
615	4059	2530
616	4060	2520
617	4064	2512
618	4068	2503
619	4070	2494
620	4071	2484
621	4074	2476
622	4095	2478
623	4099	2470
624	4102	2461
625	4106	2453
626	4109	2444
627	4112	2436
628	4115	2427
629	4118	2418
630	4126	2413
631	4131	2405
632	4157	2410
633	4166	2405
634	4170	2397
635	4173	2388
636	4177	2380
637	4178	2370
638	4183	2363
639	4185	2354
640	4186	2344
641	4187	2335
642	4189	2326
643	4191	2316
644	4192	2307
645	4193	2298
646	4197	2290
647	4199	2281
648	4200	2271
649	4201	2262
650	4203	2253
651	4204	2244
652	4205	2234
653	4207	2225
654	4208	2216
655	4211	2208
656	4213	2199
657	4214	2190
658	4215	2181
659	4217	2172
660	4218	2163
661	4220	2154
662	4221	2145
663	4223	2137
664	4228	2130
665	4229	2121
666	4232	2112
667	4233	2104
668	4235	2095
669	4237	2087
670	4238	2078
671	4242	2070
672	4245	2062
673	4247	2054
674	4248	2045
675	4250	2037
676	4251	2028
677	4253	2020
678	4260	2014
679	4265	2007
680	4273	2001
681	4275	1993
682	4277	1985
683	4278	1976
684	4279	1968
685	4281	1959
686	4282	1951
687	4284	1942
688	4287	1935
689	4288	1926
690	4289	1918
691	4290	1909
692	4291	1901
693	4292	1892
694	4293	1884
695	4295	1875
696	4296	1867
697	4297	1859
698	4299	1851
699	4303	1844
700	4304	1836
701	4305	1827
702	4306	1819
703	4308	1811
704	4309	1803
705	4310	1795
706	4312	1787
707	4313	1779
708	4319	1772
709	4320	1764
710	4321	1756
711	4322	1748
712	4323	1740
713	4325	1732
714	4326	1724
715	4327	1716
716	4328	1708
717	4329	1700
718	4332	1693
719	4333	1685
720	4334	1677
721	4335	1669
722	4336	1661
723	4338	1653
724	4340	1646
725	4341	1638
726	4343	1630
727	4346	1624
728	4348	1616
729	4349	1608
730	4350	1601
731	4352	1593
732	4353	1585
733	4355	1578
734	4356	1570
735	4357	1562
736	4358	1555
737	4363	1548
738	4364	1541
739	4365	1533
740	4366	1526
741	4368	1519
742	4370	1511
743	4371	1504
744	4372	1496
745	4373	1489
746	4378	1482
747	4379	1475
748	4380	1467
749	4381	1460
750	4383	1453
751	4384	1445
752	4385	1438
753	4387	1431
754	4388	1424
755	4392	1417
756	4393	1410
757	4398	1404
758	4400	1397
759	4402	1390
760	4403	1383
761	4410	1377
762	4413	1370
763	4415	1363
764	4419	1357
765	4429	1353
766	4431	1346
767	4434	1339
768	4446	1335
769	4448	1328
770	4459	1324
771	4462	1317
772	4465	1311
773	4472	1305
774	4476	1299
775	4481	1293
776	4491	1289
777	4557	1300
778	4560	1293
779	4564	1287
780	4568	1280
781	4570	1274
782	4572	1267
783	4574	1260
784	4580	1254
785	4582	1247
786	4586	1241
787	4589	1234
788	4592	1228
789	4601	1223
790	4657	1230
791	4659	1223
792	4666	1218
793	4668	1211
794	4670	1204
795	4672	1197
796	4682	1192
797	4684	1185
798	4699	1182
799	4710	1177
800	4715	1171
801	4720	1165
802	4794	1176
803	4875	1188
804	4879	1182
805	4881	1175
806	4883	1167
807	4885	1160
808	4887	1153
809	4903	1150
810	4908	1143
811	4912	1137
812	4916	1130
813	4918	1123
814	4923	1117
